"enhancer","compare","mean_hit_score","triplet_pairs","cum_abs_estimate_total","has_triplet","hit_sign","contrast"
"chr10_131751173_131752300","iPSvsNSC_P0",0.107634266747645,1,0.687581496497974,TRUE,"positive","iPSvsNSC_P0"
"chr10_21293640_21294509","iPSvsNSC_P0",0.461716489202444,0,0.158283687373931,FALSE,"positive","iPSvsNSC_P0"
"chr10_21315539_21316448","iPSvsNSC_P0",0.363672312588592,0,0.396911883837315,FALSE,"positive","iPSvsNSC_P0"
"chr10_31133591_31134616","iPSvsNSC_P0",-0.423941536997633,3,1.04763501298929,TRUE,"negative","iPSvsNSC_P0"
"chr10_53029909_53030839","iPSvsNSC_P0",0.284405830035331,0,0.606457876133161,FALSE,"positive","iPSvsNSC_P0"
"chr10_90294758_90295631","iPSvsNSC_P0",0.0419930349255024,0,0.356766241999539,FALSE,"positive","iPSvsNSC_P0"
"chr10_93815144_93815838","iPSvsNSC_P0",-0.318804286781197,0,0.343845468945897,FALSE,"negative","iPSvsNSC_P0"
"chr11_122202659_122203569","iPSvsNSC_P0",0.36244050525005,0,0.157960492523386,FALSE,"positive","iPSvsNSC_P0"
"chr11_125938625_125939675","iPSvsNSC_P0",0.070883837167236,3,1.13362819252064,TRUE,"positive","iPSvsNSC_P0"
"chr11_1351305_1352191","iPSvsNSC_P0",-0.0749857080267616,0,0.35727192759887,FALSE,"negative","iPSvsNSC_P0"
"chr11_15552152_15553105","iPSvsNSC_P0",0.956169423868833,0,0.323136016684285,FALSE,"positive","iPSvsNSC_P0"
"chr11_65419798_65420618","iPSvsNSC_P0",0.0309431459438253,12,1.61827126066987,TRUE,"positive","iPSvsNSC_P0"
"chr11_66316576_66317577","iPSvsNSC_P0",0.120576216865338,20,4.17216974376809,TRUE,"positive","iPSvsNSC_P0"
"chr11_93116456_93117300","iPSvsNSC_P0",0.125648229312152,2,0.63721900333388,TRUE,"positive","iPSvsNSC_P0"
"chr12_110936780_110937739","iPSvsNSC_P0",0.339467761577433,12,1.81667411704257,TRUE,"positive","iPSvsNSC_P0"
"chr12_120413738_120414677","iPSvsNSC_P0",-1.29788746963417,5,1.04317772379671,TRUE,"negative","iPSvsNSC_P0"
"chr12_130633431_130634438","iPSvsNSC_P0",-0.381386516247578,2,0.62611198571534,TRUE,"negative","iPSvsNSC_P0"
"chr12_16796016_16796917","iPSvsNSC_P0",0.318693067972456,0,1.39250331956787,FALSE,"positive","iPSvsNSC_P0"
"chr12_31368484_31369465","iPSvsNSC_P0",0.305059493514746,0,0.347263052383733,FALSE,"positive","iPSvsNSC_P0"
"chr12_50169937_50170924","iPSvsNSC_P0",0.479616972085819,0,0.134032474400752,FALSE,"positive","iPSvsNSC_P0"
"chr12_57893434_57894392","iPSvsNSC_P0",-0.0822896787010372,12,2.21048947880568,TRUE,"negative","iPSvsNSC_P0"
"chr12_6716161_6717086","iPSvsNSC_P0",0.367453104662904,12,2.7645867533794,TRUE,"positive","iPSvsNSC_P0"
"chr12_70983440_70984354","iPSvsNSC_P0",0.648026396109688,0,0.277864603950401,FALSE,"positive","iPSvsNSC_P0"
"chr12_84986331_84987238","iPSvsNSC_P0",0.0355687378267376,0,0.411798712299873,FALSE,"positive","iPSvsNSC_P0"
"chr12_85317578_85318522","iPSvsNSC_P0",-0.173858675313176,0,0.29536454279898,FALSE,"negative","iPSvsNSC_P0"
"chr12_96985205_96986170","iPSvsNSC_P0",-0.709171357971755,0,0.267040275582992,FALSE,"negative","iPSvsNSC_P0"
"chr13_30862372_30863800","iPSvsNSC_P0",-0.190194419752663,4,3.49540896310611,TRUE,"negative","iPSvsNSC_P0"
"chr13_44527671_44528563","iPSvsNSC_P0",0.909460213361933,0,0.450193875541103,FALSE,"positive","iPSvsNSC_P0"
"chr14_41403170_41404854","iPSvsNSC_P0",0.748829655048235,0,0.377486089954297,FALSE,"positive","iPSvsNSC_P0"
"chr14_77075837_77076865","iPSvsNSC_P0",-0.16290353069567,1,0.537502486864302,TRUE,"negative","iPSvsNSC_P0"
"chr14_90454021_90454932","iPSvsNSC_P0",-0.294385909800962,0,0.185635888500027,FALSE,"negative","iPSvsNSC_P0"
"chr14_95943411_95944354","iPSvsNSC_P0",-1.35258052313052,0,1.31907252347709,FALSE,"negative","iPSvsNSC_P0"
"chr15_38068488_38069984","iPSvsNSC_P0",0.282618524734003,0,0.126168201536769,FALSE,"positive","iPSvsNSC_P0"
"chr15_58768199_58769227","iPSvsNSC_P0",0.209250986656142,0,1.35722210407488,FALSE,"positive","iPSvsNSC_P0"
"chr15_60118058_60119579","iPSvsNSC_P0",-0.155986827222168,0,0.387804792210435,FALSE,"negative","iPSvsNSC_P0"
