"screen_peak_ID","peak_type","network_peak_id","compare","gene_symbol","CAT_geneClass","logFC","wilcox_p","mlog_wilcox_p","hit_score"
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","NSC_P1vsNSC_P2","CATG00000000100.1","LncRNA",-0.468297375131312,0.0322205734348479,1.49186673463766,-0.698637275876536
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","iPSvsNSC_P0","CATG00000000100.1","LncRNA",0.446080137549206,0.0148810568799999,1.82736622330276,0.815151776243669
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","NSC_P0vsNSC_P1","CATG00000000100.1","LncRNA",-0.339262760481052,0.0349339039625351,1.45675287801405,-0.494222002733763
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","iPSvsNSC_P1","CATG00000000100.1","LncRNA",0.149988735054354,0.242375790736945,0.615510761050395,0.0923196804622917
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","NSC_P2vsNeuron","CATG00000000100.1","LncRNA",0.585992739311291,0.00615319304361797,2.21089945961327,1.29557103068063
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","NSC_P0vsNeuron","CATG00000000100.1","LncRNA",0.02013169421507,0.0472092300453578,1.32597308259732,0.0266940846362631
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","NSC_P1vsNeuron","CATG00000000100.1","LncRNA",0.304364829685241,0.0875178868732479,1.05790317696091,0.321988520279182
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","NSC_P0vsNSC_P2","CATG00000000100.1","LncRNA",-0.534534719446118,0.00991902835476097,2.00353086825238,-1.07095681056292
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","iPSvsNeuron","CATG00000000100.1","LncRNA",0.431658458389002,0.0302597330756421,1.51913490725424,0.655747432150285
"CATG00000000100_P2","Promoter","chr10_72260409_72261369","iPSvsNSC_P2","CATG00000000100.1","LncRNA",-0.52785905223489,0.0717461303645053,1.14420151768334,-0.603977128690049
"CATG00000000529_P1","Promoter","chr10_96129772_96130541","NSC_P1vsNeuron","CATG00000000529.1","LncRNA",0.124524198399274,0.161009841439508,0.793147577680903,0.09876606632304
"CATG00000000529_P1","Promoter","chr10_96129772_96130541","NSC_P0vsNeuron","CATG00000000529.1","LncRNA",0.466103509125351,0.0335111286027652,1.47481094555478,0.687414557019559
"CATG00000000529_P1","Promoter","chr10_96129772_96130541","NSC_P1vsNSC_P2","CATG00000000529.1","LncRNA",0.500732059876533,0.0171181010273126,1.76654441484005,0.884565423706244
"CATG00000000529_P1","Promoter","chr10_96129772_96130541","NSC_P2vsNeuron","CATG00000000529.1","LncRNA",-0.251043328898719,0.0149090307079717,1.82655059074305,-0.458543340702056
"CATG00000000529_P1","Promoter","chr10_96129772_96130541","iPSvsNSC_P0","CATG00000000529.1","LncRNA",-0.624966368132454,0.00898249735304201,2.04660290210098,-1.27905798273539
"CATG00000000529_P1","Promoter","chr10_96129772_96130541","NSC_P0vsNSC_P2","CATG00000000529.1","LncRNA",0.848870593406501,0.00797634805957366,2.09819590321018,1.78109680144111
"CATG00000000529_P1","Promoter","chr10_96129772_96130541","NSC_P0vsNSC_P1","CATG00000000529.1","LncRNA",0.286325909165925,0.00813783835337176,2.08949094104158,0.598275393387695
"CATG00000000529_P1","Promoter","chr10_96129772_96130541","iPSvsNSC_P1","CATG00000000529.1","LncRNA",-0.17743947539295,0.0461507185258948,1.33582153300422,-0.237027472034876
